Establecimiento;Tipo;Categoria;EdificioSituacion;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;UnidadesAlojativas;Plazas;Telefonos;Telefax;Email;Url
ASOMADA DEL GATO, LA;CASA RURAL;CATEGORIA ÚNICA;Ciudad;C/ ANCHIETA, 45;0;38201;0;0;0;LA LAGUNA;0;0;609085059/922263937;;info@laasomadadelgato.es;www.laasomadadelgato.es
ASTORIA;HOTEL;3 ESTRELLAS;;LA HOYA, 60;0;38400;0;0;0;PUERTO DE LA CRUZ;33;66;922384689;922 382976;administracion@astoria-bambi.com;
ATAJO, EL;CASA RURAL;CATEGORIA ÚNICA;Barrio;C/. EL ATAJO, 9 ;0;38689;0;0;0;GUIA DE ISORA;2;4;922850556;922850556;;www.casaelatajo.com
ATALAYA;HOTEL;4 ESTRELLAS;;C/. DINAMARCA, 3 (PARQUE TAORO) ;0;38400;0;0;0;PUERTO DE LA CRUZ;182;334;922376060;922387046;trh.atalaya@trhhoteles.com;www.trhoteles.es
ATAMANES, LOS;APARTAMENTO;2 LLAVES;;C/. ANTONIO NAVARRO (URB. TORVISCAS);1;38000;0;0;0;ADEJE;2;9;922/714003;922/715814;sunsetbeachresort@sunterra.com;www.qvc.co.uk
ATLANTIC HOLIDAY CENTER;HOTEL;2 ESTRELLAS;;C/. LA LAVA;10;38678;0;0;0;ADEJE;70;188;922740023;922740512;info@atlantic-holiday.com;www.atlantic-holiday.com
ATLANTICO;HOTEL;2 ESTRELLAS;Ciudad;CASTILLO, 12 ;0;38002;0;0;0;SANTA CRUZ DE TENERIFE;60;96;922246375;922246378;;
ATLANTIDA 2;HOTEL;4 ESTRELLAS;;Avda. Tres de Mayo núm. 71;0;38005;0;0;0;SANTA CRUZ DE TENERIFE;32;52;922292929;922284984;hotel atlantida.sc@hoteles-silken.com;www.hoteles-suilken.com
ATLANTIDA SANTA CRUZ;HOTEL;4 ESTRELLAS;Ciudad;TRES DE MAYO ESQ.AUREA DIAZ FLORES AVDA. ;0;38005;0;0;0;SANTA CRUZ DE TENERIFE;112;224;922294500;922224458;hotelatlantida.sc@hoteles-silken.com;www.hotelatlantida.com
ATLANTIDA-LAS PLATANERAS;BUNGALOWS;3 LLAVES;;AVDA. LONDRES, 3;0;38650;0;0;0;ARONA;214;675;922790908/922790912;922791213;atlantasur@wanadoo.es;www.solvasa.com
BAHIA COLON;APARTAMENTO;2 LLAVES;;LA PALOMA, 9;0;38650;0;0;0;ARONA;9;35;922796013;922753404;colonsolomar@hotelesreveron.com;www.hotelesreveron.com
BAHIA PARQUE;APARTAMENTO;1 LLAVE;Urbanización;LA LONGUERA , S/N;0;38410;0;0;0;LOS REALEJOS;82;164;922364100;922363891;bahiaparque@telefonica.net;
BAHIA PRINCESS;HOTEL;4 ESTRELLAS;;PARCELA 3B PLAN PARCIAL FAÑABE;0;38660;0;0;0;ADEJE;275;550;;;;
BAHIA PRINCIPE COSTA ADEJE;HOTEL;4 ESTRELLAS;;PLAN PARCIAL PLAYA PARAISO, PARCELA 18, CTRA. AL PUERTITO;0;38670;0;0;0;ADEJE;478;956;922723100;922723300;info@bahia-principe.com;www.bahia-principe.com
BAHIA PRINCIPE SAN FELIPE;HOTEL;4 ESTRELLAS;Ciudad;AVDA. COLON,  22 ;0;38400;0;0;0;PUERTO DE LA CRUZ;260;483;922383311;922373718;h10.san.felipe@h10.es;www.h10.es
BAHIA PRINCIPE TENERIFE;HOTEL;5 ESTRELLAS;;CTRA. AL PUERTITO, SECTOR III, 20 URB., ;0;38670;0;0;0;ADEJE;220;440;922723100;922723300;info@bahia-principe.com;www.bahia-principe.com
BAMBI;APARTAMENTO;1 LLAVE;Ciudad;ENRIQUE TALG, 15 ;0;38400;0;0;0;PUERTO DE LA CRUZ;41;82;922384689;922382976;administracion@astoria-bambi.com;
BARCELO SANTIAGO;HOTEL;4 ESTRELLAS;;C/. LA HONDURA, 8 ;0;38683;0;0;0;SANTIAGO DEL TEIDE;406;810;922860912;922861808;santiago@barcelo.com;www.barcelo.com
BARRANCO;BUNGALOWS;2 LLAVES;;SANTIAGO PUIG,  3, AVD. ;0;38640;0;0;0;ARONA;75;225;922791860;922790921;922753529@e.telefonica.net;
BE LIVE OROTAVA;HOTEL;4 ESTRELLAS;Ciudad;AVDA. AGUILAR Y QUESADA, 3 ;0;38400;0;0;0;PUERTO DE LA CRUZ;241;472;922388331/922368860;922 383872;orotavapalace@globalia-hotels.com;www.globalia-hotels.com
BEATRIZ ATLANTIS & SPA;HOTEL;4 ESTRELLAS;;AVDA. VENEZUELA, 15 ;0;38400;0;0;0;PUERTO DE LA CRUZ;334;631;922374545;922382153;atlantis@hap.es;www.hap.es
BELESA, LA ;CASA RURAL;CATEGORIA ÚNICA;Montaña;C/ TRECE DE SEPTIEMBRE, 13 ;0;38589;0;0;0;ARICO;2;5;922232772/630430956;922595083;jchacor@hispavista.com;www.aecan.es
BELLAMAR;APARTAMENTO;1 LLAVE;;AVDA. RAFAEL GONZALEZ VERNETTA;0;38250;0;0;0;LA LAGUNA;41;197;922540661;922544605;;
BELLAVISTA;APARTAMENTO;3 LLAVES;;C/. EUCALIPTO (URB. LA PAZ);4;38400;0;0;0;PUERTO DE LA CRUZ;186;372;922383111;922383518;info@apartamentosbellavista.com;
BERLIN;PENSIÓN;1 ESTRELLA;;MARCELINO PERDOMO REYES, 1, EL COROMOTO;0;38206;0;0;0;LA LAGUNA;20;25;922255043;922255043;;
BEST TENERIFE;HOTEL;4 ESTRELLAS;;ANTONIO DOMINGUEZ, 6 AVDA. ;0;38660;0;0;0;ARONA;365;696;922 792751;922791039;recepcion.tenerife@princess-hotels.com;www.princess-hotels.com
BEVERLY HILLS CLUB;APARTAMENTO;3 LLAVES;;RODEO, 9 -  OASIS DEL SUR, URB.;0;38650;0;0;0;ARONA;247;890;922792611;922794412;beverlyhillsclub@xlresorts.com;www.beverlyhillsclub.co.uk.
BEVERLY HILLS-HEIGHTS;APARTAMENTO;3 LLAVES;;SIERRA NEVADA, 1 - URB. OASIS DEL SUR;0;38650;0;0;0;ARONA;110;474;922752316;922753093;beverlyhillsheights@xlresorts.com;www.beverlyhillsclub.co.uk.
BITACORA;HOTEL;4 ESTRELLAS;;C/. CALIFORNIA, 1;0;38660;0;0;0;ARONA;314;628;922791540;922796677;bitacora@springhoteles.com;www.springhoteles.com
BODEGA, LA;CASA RURAL;CATEGORIA ÚNICA;;C/ BETHENCOURT AFONSO, 4 ;0;38620;0;0;0;SAN MIGUEL;4;8;922700590;922700590;;www.tenerife-labodega.com
BONANZA;HOTEL;4 ESTRELLAS;;ACEVIÑO, 8 (URB.LA PAZ);0;38400;0;0;0;PUERTO DE LA CRUZ;206;392;922381100;922374151;bonanzapalace@hotasa.es;www.hotasa.es
BORINQUEN;APARTAMENTO;2 LLAVES;Playa;AVDA. VENEZUELA;14;38660;0;0;0;ADEJE;62;128;922791100;922787363;borinquen@infonegocio.com;
BORUGUITA, LA;CASA RURAL;CATEGORIA ÚNICA;;C/ EL PASO, 63;0;38300;0;0;0;LA OROTAVA;2;5;646084797;922370063;info@laboruguita.com;www.laboruguita.com
BOTANICO;HOTEL;5 ESTRELLAS LUJO;;C/. RICHARD J. YEOWARD, 1 (URB. EL BOTANICO);0;38400;0;0;0;PUERTO DE LA CRUZ;282;542;922381500/922381400;922381504;hotelbotanico@hotelbotanico.com;www.hotelbotanico.com
BOUGANVILLAS, LAS;APARTAMENTO;2 LLAVES;Playa;TORVISCAS ALTO URB. ;0;38000;0;0;0;ADEJE;9;33;922790088;;;
BOUGANVILLE PLAYA;HOTEL;4 ESTRELLAS;;Avda. Ernesto Sarti núm. 5;0;38660;0;0;0;ADEJE;481;914;922790200;922794173;bouganville.playa@iberoestar.com;www.iberoestar.com
BREVERITAS, LAS;CASA RURAL;CATEGORIA ÚNICA;;CMNO. LAS BREVERITAS, S/N;0;38438;0;0;0;ICOD DE LOS VINOS;3;6;620891846;922302853;;www.breveritas.com
BREZOS, LOS;APARTAMENTO;3 LLAVES;Playa;AVDA. BRUSELAS (PLAYA DE FAÑABE);7;38660;0;0;0;ADEJE;88;273;922716502;922716096;;
BUNGAMERICA;BUNGALOWS;2 LLAVES;;URUGUAY, 2 ;0;38660;0;0;0;ADEJE;32;114;922791264;;;
CALEDONIA PARK;HOTEL;3 ESTRELLAS;;URB. ALEMANIA, 1 (TORVISCAS ALTO, PARCELA 9);0;38660;0;0;0;ADEJE;256;708;922714800;922714714;caledonia@a-caledonia.com;www.a-caledonia.com
CALIBORNA;CASA EMBLEMATICA;CATEGORÍA ÚNICA;Suelo Urbano;C/ CALVARIO, Nº1, ESQUINA SAN JOAQUIN;0;38570;0;0;0;FASNIA;2;4;;;;
CALIFORNIA;APARTAMENTO;2 LLAVES;;C/. NOELIA AFONSO;2;38660;0;0;0;ARONA;94;198;922753125;922/788316;info@coral-hotels.com;www.coral-hotels.com
CALLAO GARDEN;APARTAMENTO;3 LLAVES;Barrio;C/. EL JABLE, 39 ;0;38670;0;0;0;ADEJE;211;658;922740376;922741079;callao-garden@terra.es;
CALLAOMAR;APARTAMENTO;1 LLAVE;Urbanización;TENIQUE, 4;0;38000;0;0;0;ADEJE;15;30;696981017;922/743957;;
CANAIMA;APARTAMENTO;2 LLAVES;;AGUSTIN ESPINOSA, 15 ;0;38400;0;0;0;PUERTO DE LA CRUZ;14;42;922383951/922383683;922373504;apartamentoscanaima@hotmail.com;
CANARIFE;HOTEL;4 ESTRELLAS;;ACEVIÑO, 10  (URB. LA PAZ) ;0;38400;0;0;0;PUERTO DE LA CRUZ;215;416;922381200/922381554;922375103;canarifepalace@hotasa.es;www.hotasa.es
CANGO, EL;CASA RURAL;CATEGORIA ÚNICA;Barrio;C/ VERA LOS CANGUEROS, 8-10 ;0;38580;0;0;0;ARICO;1;3;922161217;922271481;;www.casaruralelcango.com
CANO;PENSIÓN;1 ESTRELLA;;GALVAN BELLO, 9 ;0;38640;0;0;0;ARONA;6;8;922785317;;;
CANTITO, EL;CASA EMBLEMATICA;CATEGORÍA ÚNICA;Suelo Urbano;AVDA. DE LAS AGUAS, 20;0;38420;0;0;0;SAN JUAN DE LA RAMBLA;1;3;922360639;;vanarkel@wanadoo.es;www.casacantito.com
CAÑADAS;HOTEL;1 ESTRELLA;;CTRA. Gral. Km.7,5.- ;0;38109;0;0;0;EL ROSARIO;7;14;922548030;922 548267;hotel@esperanza-hotel.com;www.esperanza-hotel.com
CARABELA II, LA;APARTAMENTO;2 LLAVES;Urbanización;C/. RICHARD YEOWARD (URB. EL BOTANICO);1;38400;0;0;0;PUERTO DE LA CRUZ;31;65;922384812/922371338;922374587;atlacarabela@hotmail.com;
CARABELA, LA;APARTAMENTO;3 LLAVES;Ciudad;C/. RICHARD J. YEOWARD;1;38400;0;0;0;PUERTO DE LA CRUZ;45;90;922384812;922374587;atlacarabela@hotmail.com;www.7islas.net/lacarabela
CARDONES, LOS;APARTAMENTO;2 LLAVES;Playa;AVDA. RAFAEL PUIG LLIVINA;0;38660;0;0;0;ARONA;38;113;922/715216;922/715306;loslagos@lagosdefañabe.com;www.lagosdefañabe.com
CAREL;PENSIÓN;2 ESTRELLAS;Playa;AVDA. PRINCIPES DE ESPAÑA;22;38600;0;0;0;GRANADILLA DE ABONA;21;42;922176898;922176898;reservas@hcareltenerifesur.com;www.hcareltenerifesur.com
CARIBE;APARTAMENTO;3 LLAVES;;AVDA. V CENTENARIO;3;38660;0;0;0;ADEJE;128;384;922790450;922750992;;www.apartamentoscaribe.com
CASA ALTA;PENSIÓN;2 ESTRELLAS;;CALZADA DE MARTIANEZ, 9 ;0;38400;0;0;0;PUERTO DE LA CRUZ;13;22;922385868/60958595;;;
CASA AMARILLA;VIVIENDA TURISTICA;CATEGORÍA ÚNICA;;LA CALETA DE INTERIAN ;0;38470;0;0;0;LOS SILOS;4;10;922840118;922840753;info@fincacasamarilla.com;www.fincacasamarilla.com
CASA ANTON PICHE;CASA RURAL;CATEGORIA ÚNICA;;C/ PRINCIPAL, 38 ;0;38600;0;0;0;GRANADILLA DE ABONA;3;6;922772838;922770148;;www.antonpiche.com
CASA AURELIA;CASA RURAL;CATEGORIA ÚNICA;Barrio;C/. LA MORRITA, 13 (CALLEJON LA ROSA) ;0;38530;0;0;0;CANDELARIA;2;6;922232235;;;
CASA BAILON;VIVIENDA TURISTICA;SIN DATO;Barrio;FINCA LAS AGUILILLAS IMOSE ;0;38589;0;0;0;ARICO;2;3;922768022;;;www.casabailon.com
CASA BLANCA;PENSIÓN;1 ESTRELLA;;VIERA Y CLAVIJO, 15 ;0;38003;0;0;0;SANTA CRUZ DE TENERIFE;18;25;922278599;;;
CASA BLANCA;PENSIÓN;1 ESTRELLA;;RAMON PINO, 28 ;0;38640;0;0;0;ARONA;10;16;922790835;;;
CASA CA CHO PEDRO;VIVIENDA TURISTICA;SIN DATO;;PISTA MILITAR, 15 ;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;2;6;922549435;;;
CASA CARMELA;CASA RURAL;CATEGORIA ÚNICA;;C/ LA RIVERA, 4;0;38680;0;0;0;GUIA DE ISORA;3;4;922850062;;casa.carmela@vodafone.es;www.casaruralcarmela.com
CASA DE LA PALMERA, LA;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);CARRETERA TACORONTE-TEJINA, Nº 135(H), POLIG 5 PARCELA 239 (ANTES Nº 141);0;38350;0;0;0;TACORONTE;2;5;922560790/639874656;;jferlop@hotmail.com;
CASA DE MONTEMAYOR;CASA RURAL;CATEGORIA ÚNICA;;CAMINO DE MOYA, S/N (EL BOQUERÓN);0;38270;0;0;0;LA LAGUNA;2;5;922288110;;;www.casamontemayor.com
CASA DEL ABUELO;CASA RURAL;CATEGORIA ÚNICA;;C/ SANTA LUCIA, 1;0;38688;0;0;0;GUIA DE ISORA;2;4;922852214;922853069;cduranza@terra.es;www.terra.es/personal/cduranza
CASA DEL CURA VIEJO;CASA RURAL;CATEGORIA ÚNICA;;C/ ANDRES OROZCO BATISTA, 18 ;0;38550;0;0;0;ARAFO;3;7;922511835/607659817;922511835;;www.casacuraviejo.com
CASA DEL SOL;HOTEL;3 ESTRELLAS;;C/. FINLANDIA (URB. SAN FERNANDO) ;4;38400;0;0;0;PUERTO DE LA CRUZ;45;80;922380762;922380334;rerservas@hotelcasadelsol.es;www.hotelcasadelsol.com
CASA EL CHORRO;CASA RURAL;CATEGORIA ÚNICA;Montaña;CARRIZAL ALTO, S/N.;0;38480;317941;3133961;612;BUENAVISTA DEL NORTE;0;0;669224805;;;
CASA EL MAESTRO;CASA RURAL;CATEGORIA ÚNICA;;LOMO JUAN DIAZ, 19 ;0;38530;0;0;0;CANDELARIA;2;3;922688210/687821488;;;
CASA ERQUES;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (No Calificación);LA MORRA, S/N;0;38680;328914;3117566;850;GUIA DE ISORA;2;4;922788364;922795434;fadan@procuradorentenerife.com;
CASA GRILLO;VIVIENDA TURISTICA;SIN DATO;Ciudad;CALLEJON EL LLANO, 6 (EL CARMEN) ;0;38580;0;0;0;ARICO;2;4;922768449/922768154;;;
CASA LA CUNA;CASA RURAL;CATEGORIA ÚNICA;;TRANSVERSAL A C/ ANTONIO DORTA CURBELO, 3;0;38435;0;0;0;TANQUE;0;0;922121195/696432200;;;
CASA LA HOYITA;CASA RURAL;CATEGORIA ÚNICA;Ciudad;C/ CALLEJON, 3 (BARRIO DE LA HOYA);0;38500;0;0;0;GÜIMAR;1;3;686616559;;;www.casalahoyita.com
CASA LAS PEREZ;CASA RURAL;CATEGORIA ÚNICA;Barrio;C/ GUAJARA, 23 (LAS VEGAS);0;38600;0;0;0;GRANADILLA DE ABONA;2;5;922501271;;;
CASA LAS VIGAS;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);LOMO LAS VIGAS (LA FLORIDA-CHAJAÑA);0;38589;0;0;0;ARICO;2;4;646872239;;;
CASA LOS ESCALONES;VIVIENDA TURISTICA;SIN DATO;;GENERAL LA ESCALONA, 8 CTRA.;0;38000;0;0;0;VILAFLOR;2;6;922244174;;;
CASA MACRINA;CASA RURAL;CATEGORIA ÚNICA;;BARRIO LA CONCEPCION, 2;0;38677;0;0;0;ADEJE;1;2;922781792;922781792;;www.casarurallamacrina.com
CASA MARIA;APARTAMENTO;2 LLAVES;;C/. LA CUEVA (LAS CUEVECITAS);22;NULL;0;0;0;CANDELARIA;9;30;922506443/291173;922/506443;;
CASA MONTIEL;CASA RURAL;CATEGORIA ÚNICA;Montaña;CMNO. MONTIEL, 18 A - LAS VISTAS (APARTADO DE CORREOS, 29)  ;0;38430;0;0;0;ICOD DE LOS VINOS;1;2;922810568;922810568;info@piedraredonda.com;www.piedraredonda.com
CASA MUSEO;CASA RURAL;CATEGORIA ÚNICA;Barrio;C/ LA LUZ, 6;0;38589;0;0;0;ARICO;1;2;922768000;;agustina_368@hotmail.com;
CASA NATI;PENSIÓN;1 ESTRELLA;Montaña;BORUGA, 20 ;0;38300;0;0;0;LA OROTAVA;4;8;922320218;;;
CASA PACHELE;CASA RURAL;CATEGORIA ÚNICA;;C/ CENTINELA, 11 ;0;38440;0;0;0;LA GUANCHA;2;4;922828430;;;www.casapachele.com
CASA PANCHO;CASA RURAL;CATEGORIA ÚNICA;;C/ LOMO ANGOSTO, 16;0;38579;0;0;0;FASNIA;0;0;657176157;;;www.casapancho.com
CASA PEPA;CASA RURAL;CATEGORIA ÚNICA;;C/ GUAJARA S/N. (LAS VEGAS);0;38600;0;0;0;GRANADILLA DE ABONA;2;6;922223714;;;
CASA PURA;CASA RURAL;CATEGORIA ÚNICA;;ROQUE LAS TABAIBAS, S/N ;0;38480;0;0;0;BUENAVISTA DEL NORTE;3;6;922127657;;;
CASA QUEMADA;CASA RURAL;CATEGORIA ÚNICA;;PARAJE DE TENO ALTO, S/N ;0;38480;0;0;0;BUENAVISTA DEL NORTE;2;6;639668902;;;
CASA RENOLLON;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);C/ BENITEZ DE LUGO, 10;0;38589;0;0;0;ARICO;2;4;922161258;922161388;main@domiciles-tropical.com;
CASA ROSALIA;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (No Calificación);C/ EL SANGUIÑAL, 4 (LLANITO PERERA);0;38430;0;0;0;ICOD DE LOS VINOS;2;4;922812850;;;
CASA RUTTER;PENSIÓN;2 ESTRELLAS;;CASA 75 (PUERTITO DEL SAUZAL) ;0;38008;0;0;0;EL SAUZAL;7;14;922575215;922575398;info@balcondelmar.com;
CASA SAN MIGUEL;APARTAMENTO;1 LLAVE;Montaña;GARAÑAÑA, LA, 39 - ZONA 2 ;0;38000;0;0;0;SAN MIGUEL;6;21;922167247;922167247;info@casasanmiguel.de;www.casasanmiguel.de
CASA SAN MIGUEL;CASA RURAL;CATEGORIA ÚNICA;Suelo Rústico (Calificación);CAMINO EL BOQUERON, 7;0;38270;0;0;0;LA LAGUNA;2;5;670841024;;mascaniolo@gmail.com;
CASA TAJARASTE;CASA RURAL;CATEGORIA ÚNICA;;CMNO. LOMO ACEVEDO, 10. (LA PATITA) ;0;38430;0;0;0;ICOD DE LOS VINOS;2;5;922121352;;;
CASA TAMAIDE;CASA RURAL;CATEGORIA ÚNICA;;FUNDADORES CASMI, 1;0;38620;0;0;0;SAN MIGUEL;3;6;922700108;;;
CASA VIDAL;CASA RURAL;CATEGORIA ÚNICA;Barrio;C/ SAN FELIPE, 5 ;0;38680;0;0;0;GUIA DE ISORA;3;6;670827242;922852159;;www.casaruralvidal.net
CASA VIEJA;CASA RURAL;CATEGORIA ÚNICA;;SANTA ROSA DE LIMA, 64 ;0;38330;0;0;0;LA LAGUNA;3;5;922257803;;;www.crcasavieja.com
CASABLANCA;APARTAMENTO;3 LLAVES;Playa;C/. CALZADA DE MARTIANEZ (URB. EL TOPE);4;38400;0;0;0;PUERTO DE LA CRUZ;165;520;922371814;922374209;reservas@apartamentoscasablanca.com;www.apartamentoscasablanca.com
